PVS,dataset,Resolution,Framerate,bitrate,video_codec,quant,mean_qp,p1204_3_score
racing_02_1920x1080_60_yuv420p.yuv_AV1_1M,lofps_4K_testnum_013,2073600,60,1.0,AV1,0.921064702652066,234.8714991762768,2.8638757483171924
racing_02_1920x1080_60_yuv420p.yuv_AV1_2M,hifps_120_testnum_003,2073600,60,2.0,AV1,0.8354556320056853,213.04118616144976,3.207579140168814
racing_02_3840x2160_30_yuv420p.yuv_AV1_10M,lofps_4k_testnum_010,8294400,30,10.0,AV1,0.7867058823529413,200.61,3.737166072937589
racing_02_3840x2160_30_yuv420p.yuv_AV1_20M,lofps_4k_testnum_005,8294400,30,20.0,AV1,0.6684052287581699,170.44333333333333,4.020657150477632
racing_02_3840x2160_30_yuv420p.yuv_AV1_2M,lofps_4k_testnum_011,8294400,30,2.0,AV1,0.9743529411764706,248.46,2.9830811652209985
racing_02_3840x2160_30_yuv420p.yuv_AV1_5M,lofps_4k_testnum_009,8294400,30,5.0,AV1,0.8916339869281046,227.36666666666667,3.373581438212688
racing_02_3840x2160_60_yuv420p.yuv_AV1_14M,lofps_4K_testnum_014,8294400,60,14.0,AV1,0.8,204.0,3.697790138706934
racing_02_3840x2160_60_yuv420p.yuv_AV1_30M,lofps_4k_testnum_007,8294400,60,30.0,AV1,0.6759346405228759,172.36333333333334,4.005737007510151
racing_02_3840x2160_60_yuv420p.yuv_AV1_3M,lofps_4k_testnum_005,8294400,60,3.0,AV1,0.9733464052287584,248.2033333333333,2.9885052769376506
card_01_1280x720_120_yuv420p.yuv_AV1_0.15M,hifps_120_testnum_000,921600,120,0.15,AV1,0.924248366013072,235.6833333333333,2.2394586779164283
card_01_1280x720_120_yuv420p.yuv_AV1_0.3M,hifps_120_testnum_004,921600,120,0.3,AV1,0.803954248366013,205.00833333333333,2.688765860650228
card_01_1280x720_120_yuv420p.yuv_AV1_1M,hifps_120_testnum_000,921600,120,1.0,AV1,0.5762124183006536,146.93416666666667,3.235865982826512
card_01_1280x720_30_yuv420p.yuv_AV1_0.05M,lofps_4k_testnum_007,921600,30,0.05,AV1,0.970392156862745,247.45,2.0311179699346003
card_01_1280x720_30_yuv420p.yuv_AV1_0.1M,hifps_120_testnum_000,921600,30,0.1,AV1,0.8983529411764707,229.08,2.3474220753327364
card_01_1280x720_30_yuv420p.yuv_AV1_0.1M,hifps_120_testnum_003,921600,30,0.1,AV1,0.8983529411764707,229.08,2.3474220753327364
card_01_1280x720_30_yuv420p.yuv_AV1_0.1M,hifps_120_testnum_004,921600,30,0.1,AV1,0.8983529411764707,229.08,2.3474220753327364
card_01_1280x720_30_yuv420p.yuv_AV1_0.1M,lofps_4k_testnum_005,921600,30,0.1,AV1,0.8983529411764707,229.08,2.3474220753327364
card_01_1280x720_30_yuv420p.yuv_AV1_0.1M,lofps_4k_testnum_007,921600,30,0.1,AV1,0.8983529411764707,229.08,2.3474220753327364
card_01_1280x720_30_yuv420p.yuv_AV1_0.1M,lofps_4k_testnum_009,921600,30,0.1,AV1,0.8983529411764707,229.08,2.3474220753327364
card_01_1280x720_30_yuv420p.yuv_AV1_0.1M,lofps_4k_testnum_010,921600,30,0.1,AV1,0.8983529411764707,229.08,2.3474220753327364
card_01_1280x720_30_yuv420p.yuv_AV1_0.1M,lofps_4k_testnum_011,921600,30,0.1,AV1,0.8983529411764707,229.08,2.3474220753327364
